timestamp,event,key,keysym,keycode
2025-08-13T15:09:37.152,press,e,e,26
2025-08-13T15:09:37.256,release,,e,26
2025-08-13T15:09:37.346,press,r,r,27
2025-08-13T15:09:37.427,release,,r,27
2025-08-13T15:09:37.548,press,e,e,26
2025-08-13T15:09:37.659,release,,e,26
2025-08-13T15:09:38.462,press,.,period,60
2025-08-13T15:09:38.513,release,,period,60
2025-08-13T15:09:38.757,press, ,space,65
2025-08-13T15:09:38.838,release,,space,65
2025-08-13T15:09:38.999,press,,Shift_L,50
2025-08-13T15:09:39.861,press,G,G,42
2025-08-13T15:09:39.932,release,,G,42
2025-08-13T15:09:39.965,release,,Shift_L,50
2025-08-13T15:09:40.378,press,l,l,46
2025-08-13T15:09:40.438,release,,l,46
2025-08-13T15:09:40.498,press,a,a,38
2025-08-13T15:09:40.600,release,,a,38
2025-08-13T15:09:40.740,press,d,d,40
2025-08-13T15:09:40.836,release,,d,40
2025-08-13T15:09:40.906,press, ,space,65
2025-08-13T15:09:40.987,release,,space,65
2025-08-13T15:09:41.259,press,t,t,28
2025-08-13T15:09:41.383,release,,t,28
2025-08-13T15:09:41.463,press,o,o,32
2025-08-13T15:09:41.524,release,,o,32
2025-08-13T15:09:41.715,press, ,space,65
2025-08-13T15:09:41.779,release,,space,65
2025-08-13T15:09:42.232,press,p,p,33
2025-08-13T15:09:42.296,release,,p,33
2025-08-13T15:09:42.486,press,r,r,27
2025-08-13T15:09:42.598,release,,r,27
2025-08-13T15:09:42.749,press,a,a,38
2025-08-13T15:09:42.873,release,,a,38
2025-08-13T15:09:43.134,press,c,c,54
2025-08-13T15:09:43.266,release,,c,54
2025-08-13T15:09:43.348,press,t,t,28
2025-08-13T15:09:43.409,release,,t,28
2025-08-13T15:09:43.806,press,i,i,31
2025-08-13T15:09:43.867,release,,i,31
2025-08-13T15:09:44.179,press,c,c,54
2025-08-13T15:09:44.260,release,,c,54
2025-08-13T15:09:44.333,press,e,e,26
2025-08-13T15:09:44.455,release,,e,26
2025-08-13T15:09:45.002,press, ,space,65
2025-08-13T15:09:45.062,release,,space,65
2025-08-13T15:09:45.437,press,h,h,43
2025-08-13T15:09:45.518,release,,h,43
2025-08-13T15:09:45.599,press,e,e,26
2025-08-13T15:09:45.709,release,,e,26
2025-08-13T15:09:45.813,press,r,r,27
2025-08-13T15:09:45.904,release,,r,27
2025-08-13T15:09:46.004,press,e,e,26
2025-08-13T15:09:46.136,release,,e,26
